Time in s;CH 2 BITBUS;Time in 250ns TICS;Delta TICs;TIME in ps;Delta in ps;;
0.021531575;1;86126;10;21531575;2632;"#2632 com_rxin = 1;";
0.021534275;0;86137;11;21534275;2700;"#2700 com_rxin = 0;";
0.021536907;1;86148;11;21536907;2632;"#2632 com_rxin = 1;";
0.021539611;0;86158;10;21539611;2704;"#2704 com_rxin = 0;";
0.021542239;1;86169;11;21542239;2628;"#2628 com_rxin = 1;";
0.021544943;0;86180;11;21544943;2704;"#2704 com_rxin = 0;";
0.021547575;1;86190;10;21547575;2632;"#2632 com_rxin = 1;";
0.021550275;0;86201;11;21550275;2700;"#2700 com_rxin = 0;";
0.021552907;1;86212;11;21552907;2632;"#2632 com_rxin = 1;";
0.021555607;0;86222;10;21555607;2700;"#2700 com_rxin = 0;";
0.021558239;1;86233;11;21558239;2632;"#2632 com_rxin = 1;";
0.021560943;0;86244;11;21560943;2704;"#2704 com_rxin = 0;";
0.021566239;1;86265;21;21566239;5296;"#5296 com_rxin = 1;";
0.021568939;0;86276;11;21568939;2700;"#2700 com_rxin = 0;";
0.021571571;1;86286;10;21571571;2632;"#2632 com_rxin = 1;";
0.021574275;0;86297;11;21574275;2704;"#2704 com_rxin = 0;";
0.021576907;1;86308;11;21576907;2632;"#2632 com_rxin = 1;";
0.021579607;0;86318;10;21579607;2700;"#2700 com_rxin = 0;";
0.021582239;1;86329;11;21582239;2632;"#2632 com_rxin = 1;";
0.021584939;0;86340;11;21584939;2700;"#2700 com_rxin = 0;";
0.021587571;1;86350;10;21587571;2632;"#2632 com_rxin = 1;";
0.021590275;0;86361;11;21590275;2704;"#2704 com_rxin = 0;";
0.021592903;1;86372;11;21592903;2628;"#2628 com_rxin = 1;";
0.021595607;0;86382;10;21595607;2704;"#2704 com_rxin = 0;";
0.021598239;1;86393;11;21598239;2632;"#2632 com_rxin = 1;";
0.021600939;0;86404;11;21600939;2700;"#2700 com_rxin = 0;";
0.021603571;1;86414;10;21603571;2632;"#2632 com_rxin = 1;";
0.021606271;0;86425;11;21606271;2700;"#2700 com_rxin = 0;";
0.021611571;1;86446;21;21611571;5300;"#5300 com_rxin = 1;";
